id,item,gold,prediction,gold_evidence,predicted_evidence
PPS-DEV-152,v19,0,1,,"제출기간 : 2026. 5. 28.(목) 09:00 ~ 2026. 6. 2.(화) 18:00[토요일, 공휴일 제외]"
PPS-DEV-153,v13,0,1,,나.「중소기업기본법」 제2조제2항에 따른 소기업 또는 ｢소상공인 보호 및 지원에 관한 법률｣ 제2조에 따른 소상공인으로서 ｢중소기업 범위 및 확인에 관한 규정｣ 에 따라 발급된 소기업 또는 소상공인확인서를 소지한 업체
PPS-DEV-153,v21,0,1,,"① 공동수급체 구성원 수는 대표사 포함 2개 업체 이내로 제한하고, 구성원별 계약 참여 최소 지분율은 5% 이상이어야 함"
PPS-DEV-155,v3,0,1,,"최근 5년 이내 축제, 공연, 대중음악 페스티벌 등 유사사업의 단일 계약 1억원 이상(부가세 포함)의 행사대행 실적"
PPS-DEV-155,v12,0,1,,「중소기업제품 구매촉진 및 판로지원에 관한 법률」 제9조에 따른 직접생산확인증명서(기타행사기획및대행서비스:8014199001)를 소지한 업체
PPS-DEV-156,v9,0,1,,
PPS-DEV-156,v19,0,1,,"아울러, 계약상대자는 계약체결 시에 동 서약서를 우리 면에 제출하여야 합니다."
PPS-DEV-157,v16,0,1,,
PPS-DEV-157,v18,0,1,,
PPS-DEV-157,v20,0,1,,
PPS-DEV-157,v21,0,1,,"단독 형태로 참가(공동수급(아웃소싱, 하도급 등) 참여 불가)"
PPS-DEV-158,v21,0,1,,공 동 계 약: 불허
PPS-DEV-160,v13,0,1,,「중소기업기본법」제2조제2항에 따른 소기업 또는「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 소기업 또는 소상공인확인서를 소지한 업체
PPS-DEV-160,v19,0,1,,정품 공급확약서 (물품 납품 전)
PPS-DEV-161,v13,0,1,,「중소기업기본법」제2조에 의한 소기업 또는「소상공인 기본법」제2조에 의한 소상공인으로서 「중소기업 범위 및 확인에 관한 규정」에 따라 발급된 소기업 또는 소상공인 확인서를 소지한 자
PPS-DEV-162,v9,0,1,,
PPS-DEV-162,v19,0,1,,제조(수입)업체로부터 공급물량 이상 물품 공급이 확약된 자(판매업자에 한함)
PPS-DEV-164,v11,0,1,,
PPS-DEV-165,v3,0,1,,"단일 계약 3,000만원 이상 실적 대상"
PPS-DEV-165,v13,0,1,,
PPS-DEV-166,v10,0,1,,
PPS-DEV-168,v13,0,1,,「중소기업법」제2조제2항에 따른 소기업 또는 「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인 (중기업 ×)
PPS-DEV-169,v3,0,1,,"단독계약실적 200,000천원 이상의 건만 인정"
PPS-DEV-170,v13,0,1,,
PPS-DEV-171,v10,0,1,,
PPS-DEV-171,v11,0,1,,
PPS-DEV-173,v13,0,1,,중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령 제2조의2에 따른 우선조달계약 대상으로 '소기업' 또는 소상공인기본법 제2조의 '소상공인'
PPS-DEV-173,v21,0,1,,3. 공동계약: 미허용
PPS-DEV-175,v9,0,1,,살수차(16톤) 3대 임차
PPS-DEV-175,v13,0,1,,중소기업 범위 및 확인에 관한 규정에 따라 발급된 소기업·소상공인 확인서(이하 확인서)를 소지한 자
PPS-DEV-176,v9,0,1,,제작사 : KGM 또는 동급 이상
PPS-DEV-177,v9,0,1,,세부품명인 ‘전시회기획및대행서비스(세부품명번호 8014198801)’ 를 소지한 업체
PPS-DEV-178,v19,0,1,,물품제조사의 제품공급 및 기술지원(A/S) 확약서 제출 가능한 업체
PPS-DEV-179,v10,0,1,,
PPS-DEV-180,v13,0,1,,
PPS-DEV-182,v13,0,1,,「중소기업기본법」제2조 제2항에 따른 중소기업 또는 「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로 「중·소기업·소상공인 및 장애인기업 확인요령」에 따라 발급된 중소기업 또는 소상공인 확인서를 소지한 업체
PPS-DEV-183,v13,0,1,,「중소기업기본법」제2조제2항에 따른 소기업 또는「소상공인 보호 및 지원에 관한 법률」제2조에 따른 소상공인으로서「중소기업 범위 및 확인에 관한 규정」에 따라 발급된‘소기업·소상공인 확인서’(전자입찰서 제출마감일 전일까지 발급된 것으로 유효기간 내에 있어야 함)를 소지한 자
PPS-DEV-184,v10,0,1,,
PPS-DEV-184,v11,0,1,,
PPS-DEV-186,v16,0,1,,
PPS-DEV-186,v18,0,1,,
PPS-DEV-187,v16,0,1,,
PPS-DEV-187,v18,0,1,,
PPS-DEV-188,v11,0,1,,
PPS-DEV-190,v19,0,1,,판매업자의 경우 제조(수입)사와의 공고물량 이상의 공급확약서 1부
PPS-DEV-191,v12,0,1,,
PPS-DEV-191,v19,0,1,,15 확약서 서식 6
PPS-DEV-192,v12,0,1,,
PPS-DEV-193,v10,0,1,,
PPS-DEV-193,v11,0,1,,
PPS-DEV-193,v13,0,1,,「중소기업기본법」제2조에 따른 소기업자 또는「소상공인기본법」제2조에 따른 소상공인으로 소기업․소상공인 확인서를 소지한 자 이어야 합니다.
PPS-DEV-193,v17,0,1,,「중소기업기본법」제2조에 따른 소기업자 또는「소상공인기본법」제2조에 따른 소상공인으로 소기업․소상공인 확인서를 소지한 자 이어야 합니다.
PPS-DEV-193,v22,0,1,,제안설명회에 참가하지 않은 업체는 입찰을 포기하는 것으로 간주하며 평가대상에서 제외합니다.
PPS-DEV-194,v13,0,1,,
PPS-DEV-196,v13,0,1,,「중소기업제품 구매촉진 및 판로지원에 관한 법률 시행령」 제2조의2에 따른 중소기업확인서(중·소기업·소상공인)를 소지한 업체이어야 합니다.
PPS-DEV-199,v12,0,1,,"다.「중소기업제품 구매촉진 및 판로지원에 관한 법률」 제9조제4항 및 동법 시행규칙 제5조제3항에 따른 직접생산확인증명서(세부품명 : 기타행사기획 및 대행서비스, 세부품명번호 : 8014199001)를"
PPS-DEV-199,v21,0,1,,4. 공동수급체 구성 : 해당없음 (공동수급 불가)
